System,Sub-System,Diagnostic Code,Condition,Regulation,Link
"Musculoskeletal System","Amputations: Upper Extremity","5134","Thumb, index and little, amputation of","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Upper Extremity","5135","Thumb, long and ring, amputation of","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Upper Extremity","5136","Thumb, long and little, amputation of","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Upper Extremity","5137","Thumb, ring and little, amputation of","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Upper Extremity","5138","Index, long and ring, amputation of","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Upper Extremity","5139","Index, long and little, amputation of","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Upper Extremity","5140","Index, ring and little, amputation of","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Upper Extremity","5141","Long, ring and little, amputation of","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Upper Extremity","5142","Thumb and index, amputation of","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Upper Extremity","5143","Thumb and long, amputation of","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Upper Extremity","5144","Thumb and ring, amputation of","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Upper Extremity","5145","Thumb and little, amputation of","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Upper Extremity","5146","Index and long, amputation of","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Upper Extremity","5147","Index and ring, amputation of","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Upper Extremity","5148","Index and little, amputation of","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Upper Extremity","5149","Long and ring, amputation of","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Upper Extremity","5150","Long and little, amputation of","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Upper Extremity","5151","Ring and little, amputation of","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Upper Extremity","5152","Thumb, amputation of","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Upper Extremity","5153","Index finger, amputation of","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Upper Extremity","5154","Long finger, amputation of","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Upper Extremity","5155","Ring finger, amputation of","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Upper Extremity","5156","Little finger, amputation of","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Lower Extremity","5160","Complete amputation, lower extremity","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Lower Extremity","5161","Thigh amputation Upper third","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Lower Extremity","5162","Thigh amputation Middle or lower thirds","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Lower Extremity","5163","Leg amputation With defective stump","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Lower Extremity","5164","Leg amputation Not improvable by prosthesis","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Lower Extremity","5165","Leg amputation At a lower level, permitting prosthesis","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
